1 .512 high
1 .528 high
1 .532 high
1 .534 high
1 .537 high
1 .545 high
1 .548 high
1 .555 high
1 .556 high
1 .561 high
1 .562 high
1 .565 high
1 .566 high
1 .568 high
1 .568 high
1 .570 high
1 .570 high
1 .572 high
1 .576 high
1 .579 high
1 .580 high
1 .581 high
1 .583 high
1 .585 high
1 .587 high
1 .587 high
1 .589 high
1 .590 high
1 .593 high
1 .596 high
1 .599 high
1 .599 high
1 .599 high
1 .599 high
1 .600 high
1 .601 high
1 .604 high
1 .604 high
1 .606 high
1 .607 high
1 .609 high
1 .609 high
1 .609 high
1 .610 high
1 .610 high
1 .610 high
1 .611 high
1 .616 high
1 .617 high
1 .618 high
1 .618 high
1 .623 high
1 .624 high
1 .627 high
1 .629 high
1 .629 high
1 .632 high
1 .632 high
1 .633 high
1 .634 high
1 .634 high
1 .635 high
1 .637 high
1 .638 high
1 .638 high
1 .638 high
1 .641 high
1 .643 high
1 .646 high
1 .646 high
1 .647 high
1 .650 high
1 .654 high
1 .661 high
1 .661 high
1 .662 high
1 .663 high
1 .664 high
1 .667 high
1 .668 high
1 .670 high
1 .671 high
1 .673 high
1 .676 high
1 .680 high
1 .687 high
1 .688 high
1 .688 high
1 .688 high
1 .689 high
1 .689 high
1 .689 high
1 .690 high
1 .691 high
1 .693 high
1 .694 high
1 .695 high
1 .698 high
1 .699 high
1 .701 high
1 .704 high
1 .710 high
1 .715 high
1 .716 high
1 .716 high
1 .718 high
1 .718 high
1 .720 high
1 .721 high
1 .722 high
1 .722 high
1 .725 high
1 .726 high
1 .727 high
1 .729 high
1 .733 high
1 .737 high
1 .749 high
1 .752 high
1 .754 high
1 .763 high
1 .763 high
1 .767 high
1 .769 high
1 .774 high
1 .776 high
1 .777 high
1 .778 high
1 .779 high
1 .803 high
1 .804 high
1 .807 high
1 .810 high
1 .815 high
1 .816 high
1 .823 high
1 .824 high
1 .827 high
1 .837 high
1 .842 high
1 .843 high
1 .850 high
1 .853 high
1 .860 high
1 .864 high
1 .868 high
1 .869 high
1 .869 high
1 .876 high
1 .884 high
1 .885 high
1 .895 high
1 .904 high
1 .905 high
1 .908 high
1 .911 high
1 .913 high
1 .914 high
1 .915 high
1 .921 high
1 .925 high
1 .930 high
1 .936 high
1 .945 high
1 .948 high
1 .949 high
1 .954 high
1 .955 high
